Date,EUR,GBP,JPY
12sep2003,.8925,.627,117.1
13sep2003,.8861,.6239,117.36
14sep2003,.8857,.6239,117.49
15sep2003,.8857,.624,117.42
16sep2003,.8861,.6248,117.53
17sep2003,.8947000000000001,.6298,116.15
18sep2003,.8865,.6213,116.2
19sep2003,.8887000000000001,.6182,115.41
20sep2003,.8803,.6112,114.33
21sep2003,.8797,.6114000000000001,114
22sep2003,.8757,.6102,114.09
23sep2003,.8716,.6066,112.15
24sep2003,.8738,.6054000000000001,112.27
25sep2003,.8698,.6024000000000001,111.48
26sep2003,.87,.6026,112.09
27sep2003,.8715000000000001,.603,111.83
28sep2003,.8726,.603,111.66
29sep2003,.8723,.6028,111.78
30sep2003,.8625,.6001,110.82
01oct2003,.8573,.601,111.5
02oct2003,.853,.5992,110.65
03oct2003,.8554000000000001,.5989,110.82
04oct2003,.8644,.602,110.92
05oct2003,.8643,.5986,110.98
06oct2003,.8645000000000001,.5986,110.98
07oct2003,.8534000000000001,.5991,110.95
08oct2003,.8498,.6015,109.89
09oct2003,.8464,.6006,109.6
10oct2003,.8522,.6004,109.16
11oct2003,.8474,.6014000000000001,108.67
12oct2003,.8482,.6009,108.8
13oct2003,.8482,.6007,108.65
14oct2003,.8546,.6002,108.96
15oct2003,.853,.5983000000000001,108.91
16oct2003,.8596,.5998,109.56
17oct2003,.8627,.598,109.89
18oct2003,.8568,.5963000000000001,109.44
19oct2003,.8571,.5959,109.43
20oct2003,.8563,.5955,109.37
21oct2003,.8593,.5981,110.29
22oct2003,.8583,.5979,109.58
23oct2003,.8471,.5907,108.98
24oct2003,.8492,.5902,109.72
25oct2003,.848,.5898,109.4
26oct2003,.8506,.5899,109.43
27oct2003,.8499,.5904,109.27
28oct2003,.8515,.5903000000000001,108.59
29oct2003,.8573,.589,108.37
30oct2003,.8575,.5886,108.29
31oct2003,.8596,.5897,108.76
01nov2003,.8635000000000001,.5902,110.02
02nov2003,.8625,.5893000000000001,109.99
03nov2003,.8629,.5897,109.88
04nov2003,.8736,.5968,111.2
05nov2003,.8705000000000001,.5955,109.65
